issue,theme,긍정,부정,중립,total
판매 완료,가격 및 거래,0,0,292,292
개인거래,가격 및 거래,0,0,227,227
개인 거래,기타,0,0,180,180
특가,기타,3,0,109,112
성능 궁금증,기타,0,0,110,110
가격,기타,2,1,102,105
저렴한 가격,기타,64,0,37,101
미개봉 새상품,제품 상태 및 거래 조건,2,0,97,99
판매완료,거래 및 구매,0,0,94,94
미개봉 제품,제품 상태 및 거래,1,0,78,79
직접결제 가능,거래 및 구매,0,0,75,75
판매 중,가격 및 거래,0,0,73,73
가격 정보,가격 및 구매 정보,0,0,73,73
안전결제,거래 및 구매,4,0,62,66
직접결제,가격 및 거래,0,0,63,63
직거래 가능,제품 상태 및 거래,1,0,59,60
가격 궁금증,기타,0,0,60,60
무거움,제품 이동성 및 설치,0,51,6,57
직거래,거래 및 구매,0,0,56,56
직접 결제 가능,제품 판매 및 혜택,0,0,51,51
금액 궁금증,가격 및 거래,0,0,49,49
휴대성,이동성과 휴대성,33,0,15,48
미개봉 새제품,기타,3,0,45,48
핫딜,가격 및 거래,0,0,44,44
"가격 750,000원",가격 및 거래,0,0,44,44
직거래 및 택배거래 가능,거래 및 구매,0,0,42,42
중고나라 노출,기타,0,0,40,40
"가격 700,000원",가격 및 거래,0,0,39,39
미개봉 상품,제품 상태 및 거래,0,0,39,39
직접 결제,기타,0,0,38,38
"가격 800,000원",가격 및 구매,0,0,36,36
"가격 850,000원",가격 및 거래 조건,0,0,35,35
거래 희망 지역,거래 및 구매,0,0,33,33
이동 편리,제품 이동성 및 설치,31,0,1,32
성능,기타,2,0,30,32
새상품,구매 및 거래,3,0,28,31
네이버페이,기타,1,0,29,30
인기 제품,사용자 경험 및 만족도,18,0,12,30
할인,제품 구매 및 기대,11,0,17,28
"가격 650,000원",제품 구매 및 거래,0,0,27,27
안전 결제,구매 및 거래,2,0,23,25
캠핑에서 사용,캠핑 및 외부 활동,12,0,13,25
판매중,가격 및 거래,0,0,25,25
"가격 600,000원",가격 및 거래,0,0,25,25
방문 설치,편의성과 활용,0,0,24,24
안전결제 가능,가격 및 거래,6,0,18,24
가격 할인,가격 및 경제성,21,0,2,23
