date,tid,raw_text,theme,issue,mention,sentiment,rating_score,product,data_origin,contact_name
2024-05-27 13:05:13,FB-830,잘대응해주시었습니다~^^수고하세요,고객 서비스,,잘대응해주시었습니다수고하세요.,VERY_POSITIVE,5,스탠바이미고,코와샵,ash_****
2024-05-27 13:05:01,FB-693,빠른배송 맘에 듭니다. 기사님이 친절하세요.,고객 서비스,친절한 판매자 및 설치 기사,기사님이 친절하세요.,VERY_POSITIVE,5,스탠바이미고,롯데ON,e*l*****
2024-05-27 13:04:55,FB-535,제품좋고 배송도 빠르고 친절하시고 너무 좋습니다. 다만 제가 구매확정 늦게 처리해서 너무 죄송합니다. 수고하세요,고객 서비스,친절한 판매자 및 설치 기사,친절하시고,VERY_POSITIVE,5,스탠바이미고,옥션,c*o*****
2024-05-27 13:04:55,FB-563,빠른 배송과 아울러 문의를 여러 번 했는데 친절하게 답변해주셔서 감사합니다! 매우 만족합니다.,고객 서비스,빠르고 친절한 응답,문의를 여러 번 했는데 친절하게 답변해주셔서 감사합니다,VERY_POSITIVE,5,스탠바이미고,옥션,s*i*****
2024-05-27 13:05:01,FB-685,"판매자분도 친절하시고, 기사분도 친절하셔서 여러모로 만족해요! 제품도 좋네요 굿굿",고객 서비스,일반적인 서비스 만족도,"판매자분도 친절하시고, 기사분도 친절하셔서 여러모로 만족해요!",VERY_POSITIVE,5,스탠바이미고,옥션,d*c*****
2024-05-27 13:04:48,FB-457,품질좋고 기사님아주 친절하십니다^^^,고객 서비스,친절한 판매자 및 설치 기사,기사님아주 친절하십니다,VERY_POSITIVE,5,스탠바이미,옥션,d*p*****
2024-05-27 13:04:42,FB-312,문의드리면 답변도 빠르시고 물건도하자없이 왔어요 감사합니다!,고객 서비스,빠르고 친절한 응답,문의드리면 답변도 빠르시고,VERY_POSITIVE,5,스탠바이미,옥션,d*e*****
2024-05-27 13:04:48,FB-416,주문한지 40일만에 물건받았습니다. 중간에 취소하고 다른 곳에서 주문할까 했지만 제가 구매했던 가격보다 5만원가량 높아서 포기하고 대기하였습니다. 판매자분께서 배송 연기에 대해서 미리미리 공지해주는 편은 아니시지만 네이버 톡톡으로 문의하면 답변은 잘 해주십니다. 그리고 엘지설치 기사분께서 매우매우 친절하고 물건도 마음에 들고 결국 잘 받았으니 별5점 드립니다.,고객 서비스,빠르고 친절한 응답,네이버 톡톡으로 문의하면 답변은 잘 해주십니다.,POSITIVE,5,스탠바이미,이즈베스트,laga****
2024-05-27 13:04:36,FB-222,판매자님 상담도 친절하게 해주셨는데 배송도 바로 해주셔서 주문하고 다음날인가? 하루 이틀만에 바로 받았습니다~~ 너무 활용도가 높은 스탠바이미 저렴하게 잘 샀어요!!,고객 서비스,친절한 판매자 및 설치 기사,판매자님 상담도 친절하게 해주셨는데,VERY_POSITIVE,5,스탠바이미,11번가,de******
2024-05-27 13:04:36,FB-245,배송도 빠르고 친절합니다,고객 서비스,친절한 고객 서비스,친절합니다.,NEUTRAL,5,스탠바이미,오아시스486,cone****
2024-05-27 13:04:36,FB-250,서비스 친절하고 써게 잘 구매 항것 같습니닻,고객 서비스,일반적인 서비스 만족도,서비스 친절하고,VERY_POSITIVE,5,스탠바이미,옥션,t*d*****
2024-05-27 13:04:36,FB-269,잘받았습니다 기사분들도 친절하시고 좋아요,고객 서비스,친절한 판매자 및 설치 기사,기사분들도 친절하시고 좋아요,VERY_POSITIVE,5,스탠바이미,옥션,k*0*****
2024-05-27 13:04:23,FB-17,lg기사님들도 친절하시고 tv도 좋아요!!!,고객 서비스,친절한 판매자 및 설치 기사,lg기사님들도 친절하시고,VERY_POSITIVE,5,스탠바이미,11번가,dn******
2024-05-27 13:04:23,FB-49,집에서 이동하며 보기 편해요판매자님 친절하시고배송도 빨라 좋아요,고객 서비스,친절한 판매자 및 설치 기사,판매자님 친절하시고,VERY_POSITIVE,5,스탠바이미,오아시스486,suns****
