제목,내용,작성자,작성날짜,좋아요,댓글(text 만)
주말에 또 못참고 식욕 ㅠㅠ,"평일날 식단 100번 잘해도 주말에..원상복귀네요..
저만.그런거 아니죠? ㅠㅠㅠㅠ",찐망구,2024.06.16,,"배달 어플을 삭제하세요
저두 그래요... ㅠㅠ 식욕을 주체 못하고 후회하고,, 또 주체 못하고 후회하고.. 반복... ㅠㅠㅠ
ㅜ 식욕이 힘들긴하져 저도 전엔 .. 맨날 폭식과식...ㅋㅋㅋ 억지로 참다보니까 그런거에여 애초에 양을 줄여야돼요 넘 힘드시면 약 생각해보셔요 아무데나 가지 마시고 인바디 검사해주고 원장님 병원 경력 많고 공장식 아닌 곳으로요. 저는 동대문 ㅂㅇㅌ 여기 지인 추천으로 다녀왔는데 지금 6키로 넘게 뺴고 유지중이에요. 애초에 양 줄이는게 진짜진짜 중요해유.."
강아지 보험 다들 드시나요??,"강아지가 아프면 병원비가 엄청나더라구요
다들 강아지보험 하시는지요?
하시면 어디에서 월 얼마정도 하시나요??",KANGJIEUN,2024.06.14,,"저는 펫보험 들고있어요 ㅎㅎ
삼성에 3년가입하고 이번에 현대로바꿨어요
월에 5만원정도들어가요
팻보험은 다이렉트로 가입하세요 자동차 보험처럼 말여요^^
훨씬 더 싸요
저 안들었어요
적금이 나은지 보험이 나은지 한 번 알아보셔요"
새로 들어온 신입직원한테 일을 시켰는데,"뭘 어떻게 해야할지 모르겠으면 물어보던가
설명해줬을 때 다 이해한 것처럼 굴어놓고
잘 하고 있는지 중간중간 물어봤을 때 하고있다고 해놓고
막상 직접 확인해보니까 제대로 손도 안 댔네요 하...
시킨지 일주일 지났는데...
일주일동안 뭐 더 시킨 것도 없고 딱 그 일만 하라고 했는데 ㅋㅋ
그럼 이 신입..그동안 회사 나와서 대체 뭘 한 걸까요...?
완전 사회초년생도 아니고 경력직으로 뽑았으니까
기본적인 건 알 거라고 생각하고 믿고 있었더니..",루꼴라치즈,2024.06.17,,에고 ㅠ 어쩜좋아요ㅠㅠ
"[맛집]
광안리 빵지순례 꽈페 맛있어요.","남천동, 광안리에 빵지 순례 많이 다니는데,
광안리 디저트 맛집 꽈페 가봤어요. 
꽈베기가 넘 이쁘고 맛이 다양한데
엄청 부드럽고 맛있어요. 
광안리 놀러와서 기념품으로 선물로 사기 넘 좋아요. ",mjshin,2024.06.13,,"선물용으로 좋을거같네용
이뻐서 먹기아깝겠네요 ㅎ
너무 이쁘네용
빵이 왜이리 이쁜가용
와^^ 전 배이직 꽈배기 맛있게 보여요!!"
취미로 클라리넷~~!!,"ㅋㅋㅋㅋㅋ아니 친척동생이 클라리넷을 살짝 알려줬는데 저 소질있데여 ㅋㅋㅋ 
그래서 저 클라리넷 좀 깊게 배워보려고 레슨도 알아보고 있습니다. 추친력 쩔.
근데 클라리넷 사기는 부담스러워서 대여할라구여
사당 가까운 곳에 클라리넷 전문점 괜찮은 곳 있을까요?",쿠키걸s,2024.06.17,,"진짜 추진련 대박이시네요! ㅎㅋㅎㅋㅋ 멋지십니다!
ㅋㅋㅋ감사합니다 !!
전 클라리넷은 듀오뮤직이 유명하다고 들었어요. 사장님이 방송출연도 하셨다고 해요~!
방금 찾아봤는데 괜찮아보이네용 추천 감사해요!!"
240616 악뮤 10주년 콘서트 아이유 반팔티셔츠 정보,"이번 악뮤 10주년에 아이유가 깜짝 게스트로 나왔던데
악뮤랑 아이유 조합은 너무 무해하다...
여기서 출근길에 굉장히 편안한 룩으로 입었는데
꾸안꾸 느낌 제대로죵?
위에 티셔츠 찾아보니 NOS7 제품입니다  :)
앞뒤로 로고가 다르게 있어서 더 예쁘네요",디우두,2024.06.17,,
쌍수 대박났어요ㅋㅋㅋ,"나름 매력있는 무쌍이라 생각해서
무쌍으로 살아오다가 갑자기 친구가
쌍수한거 보고 저도 따라서 프리미어에서 쌍수했거든요?
근데 쌍꺼풀 있는 눈도 너무 잘 어울려서
진작 할걸 후회중이에요ㅋㅋㅋ
무쌍도 좋지만 역시 쌍꺼풀 있는게 예쁘긴 하네요",뭉죠아해,2024.06.17,,"광고;
그냥 후기글이에여ㅠ
매력있는 무쌍이면 눈길이가 길고 지방도 별로 없어서 쌍꺼풀해도 성공하는 것 같아요ㅎㅎ 혹시 원장님 어느 분한테 받으셨어요?
훈원장님께 받았어요!
프리미어도 잘하기로 유명하져 ㅋㅋ전 그리다에서 수술받았는데 눈 예뻐져서 행복해용"
"플럼 화이트닝 물광 수분 보습 세럼 미스트 100ml 38,000원","천연성분 23가지가 첨가되어 있어
피부결이랑 탄력이랑 윤기를 살려줘서
좋네요
휴대성 좋고 효과좋아서 꾸준히 흡수하면 좋을 듯요
https://smartstore.naver.com/chicblanco/products/10380858914",동그리몽그리짱,2024.06.17,,정보감사해용
점심 도시락 챙겨다니시는 분들?,"오랜만에 본가 갓다가 도시락통 챙기는 김에 엄마가 챙겨줬는데
앞으로 머 챙겨다녀야 할 지 약간 막막하거든여
도시락 챙겨다니시는 분들 메뉴 머 챙겨다니시나요???",다로미언니,2024.06.17,,"볶음밥류 유부초밥 샐러드 샌드위치 요런게 무난하죠
222 걍볶음밥류가 편해요 요즘 냉동볶음ㅂㅂ 잘나와여
전 그냥 집에서 먹는 반찬 그대로 챙겨서 다녀요
저는 부모님이랑 같이 사는편인데 저도 반찬 집에 있는거 그대로 챙겨서 점심때 먹어욤
가끔 볶음밥류도 먹기도 하구 그래욤ㅎㅎ"
연락이없는이유가 뭘까요 ??,"이별후 1년후 연락해봤는데,
통화로 결혼하자는 식으루 얘기하다가 (결혼얘기나올때 헤어짐)
본인이 1,2달안으로 연락다시 주겠다고 하다가
연락이없는건.. 뭘까요 ????",lllllllllllllllli,2024.06.17,,"딴여자생김
마음이없어서
감성에 취해서 결혼드립 했는데 끊고보니 현타오고 아닌거 같은거죠
맘 없어서용
개소리"
