original_message,summary,카테고리,감성,전체 감성
조아용 조아용 조아용 ㅎㅎ,만족,서비스,서비스: 긍정,긍정
너무 만족하며 사용중입니다,만족,사용,사용: 긍정,긍정
4일이내 설치배송연락받았고 원하는날 안착완료^^제품 설치 서비스 모두모두 만족이요,"빠른 설치, 서비스 만족","설치, 배송, 서비스","설치: 긍정, 배송: 긍정, 서비스: 긍정",긍정
여자친구가 너무 만족합니다. 생일때 사줄걸 그랬어요,"만족, 생일 선물","만족, 선물","만족: 긍정, 선물: 긍정",긍정
살까말까 했는데 좋아요,만족,제품,제품: 긍정,긍정
빠른 배송 감사합니다. LG에서 직잡 배송/설치 했습니다. .,"빠른 배송, LG 직접 배송/설치","배송, 설치","배송: 긍정, 설치: 긍정",긍정
"자취하는데 뭔 티비야 .. 하면서 노트북이나 패드로 유튜브, ott 시청했었는데 확실히 더 큰 화면으로 보니까 너무 조아요설거지하거나 가구 배치 바꿀 때도 쉽게 움직여서 이동시킬 수 있으니까 정말 좋습니다..삶의 질이 향상됐어요 ㅎㅎ","큰 화면, 이동 편리, 삶의 질 향상","화면 크기, 이동 편리성, 삶의 질","화면 크기: 긍정, 이동 편리성: 긍정, 삶의 질: 긍정",긍정
핸드폰으로 ott를 보다보니 항상 아쉬웠는데 고민고민하다질렀어요~^^ 주문후 다음날 오전에 배송설치했고 생각한대로 디자인이나 품질 맘에들어요,"빠른 배송, 디자인 만족, 품질 만족","배송, 설치, 디자인, 품질","배송: 긍정, 설치: 긍정, 디자인: 긍정, 품질: 긍정",긍정
주문하고 바로 설치안내문자오더니 토요일에 기사님 오셔서 설치해주셨어요 싸게 잘 샀습니다,"빠른 설치, 저렴한 가격","설치, 가격","설치: 긍정, 가격: 긍정",긍정
너무 예뻐요 배송 잘 해주셔서 고맙습니다,"예쁜 제품, 좋은 배송","제품, 배송","제품: 긍정, 배송: 긍정",긍정
충전이 번거롭긴 하지만 대만족,"충전 번거로움, 대만족",충전,충전: 부정,부정
친절하게 설치해주시구 무었보다 빠르게 설치해주셔서 넘 좋았어요 >__< 좋은가격에 좋은서비스 최고입니다!,"친절한 설치, 빠른 설치, 좋은 가격, 좋은 서비스","설치, 서비스, 가격","설치: 긍정, 서비스: 긍정, 가격: 긍정",긍정
이동하기 너무 편해서 좋네요.,편리한 이동,이동,이동: 긍정,긍정
배송 이틀만에 왔구요 와서 조립까지 다 해주고 가셨어요!저렴한 가격에 적극 추천합니다,"빠른 배송, 조립 서비스, 저렴한 가격, 추천","배송, 조립, 가격, 추천","배송: 긍정, 조립: 긍정, 가격: 긍정, 추천: 긍정",긍정
"너무 좋아요무겁지만 바퀴가 있어 이동이 용이 하고사운드,화질등 나무랄게 없어요","이동 용이, 우수한 사운드, 우수한 화질","이동, 사운드, 화질","이동: 긍정, 사운드: 긍정, 화질: 긍정",긍정
밥 먹을때 자기전에 이동하면서 보고있는데 너무 편하고 좋아요,"편리함, 만족",사용성,사용성: 긍정,긍정
lg기사님들도 친절하시고 tv도 좋아요!!!,"친절한 기사, 좋은 TV","기사, TV","기사: 긍정, TV: 긍정",긍정
상품에 만족하여 잘 사용하고 있습니다,"상품 만족, 잘 사용",상품,상품: 긍정,긍정
신속한 설치..설명 잘햇어여,"신속한 설치, 좋은 설명","설치, 설명","설치: 긍정, 설명: 긍정",긍정
좋아요좋아요좋아요 좋아요좋아요좋아요,좋아요,서비스,서비스: 긍정,긍정
디자인도 이쁘고배송설치까지 해주시고 좋습니다~,"이쁜 디자인, 배송 설치 만족","디자인, 배송, 설치","디자인: 긍정, 배송: 긍정, 설치: 긍정",긍정
빠른 배송 친절배송 감사합니다~,"빠른 배송, 친절배송",배송,배송: 긍정,긍정
"LG 전자공식 인증점인데 할인도 많이하고, 원하는 날에 쓱배송으로 받을 수 있어 최고였습니다! 설치 기사님도 너무 친절하셨어요.터치도 편하고 디자인이 정말 예뻐요!! 부모님께 선물로 드리기에 딱이에요. 올해 가장 만족스러운 소비였습니다.","할인, 빠른 배송, 친절한 설치, 편리한 터치, 예쁜 디자인, 선물용, 만족스러운 소비","할인, 배송, 설치, 터치, 디자인, 선물","할인: 긍정, 배송: 긍정, 설치: 긍정, 터치: 긍정, 디자인: 긍정, 선물: 긍정",긍정
잘쓰고있습니다! 추천,추천,사용,사용: 긍정,긍정
배송빠르고 기사님도 친절했습니다,"빠른 배송, 친절한 기사","배송, 서비스","배송: 긍정, 서비스: 긍정",긍정
제품 좋습니다 감사합니다,제품 좋음,제품,제품: 긍정,긍정
좋은제품 빠르고 싸게 샀어요,"좋은 제품, 빠른 배송, 저렴한 가격","제품, 배송, 가격","제품: 긍정, 배송: 긍정, 가격: 긍정",긍정
상품배송모두만족합니다,배송 만족,배송,배송: 긍정,긍정
ott 유튜브만 보는분들에게 적극추천 리모컨으로도 터치로도 작동 잘됩니다~,"유튜브 추천, 리모컨, 터치 작동","유튜브, 리모컨, 터치","유튜브: 긍정, 리모컨: 긍정, 터치: 긍정",긍정
방에 누워 사용하기에 좋습니다 만족합니다.~^^,"편리함, 만족",사용,사용: 긍정,긍정
TV 잘 안보시는 분들은 스탠바이미 추천드립니다!,스탠바이미 추천,추천,추천: 긍정,긍정
총알같은배송과 친절한 기사님의 안내및 설치까지 이렇게까지 만족해본게 몇번없어요,"총알 배송, 친절한 안내, 만족한 설치","배송, 안내, 설치","배송: 긍정, 안내: 긍정, 설치: 긍정",긍정
빠르게 설치 잘 받았습니다.,빠른 설치,설치,설치: 긍정,긍정
매우 실용적이고 디자인 및 내구성도 훌륭해보입니다. TV 없는 가정에서는 매우 유용하게 쓰입니다. 이동도 쉬워서 편리하고 화질이나 음량도 만족스럽습니다. 망설이는 분들께 강추합니다.,"실용성, 훌륭한 디자인, 내구성, 유용성, 편리한 이동, 만족스러운 화질, 음량, 강추","실용성, 디자인, 내구성, 유용성, 이동, 화질, 음량","실용성: 긍정, 디자인: 긍정, 내구성: 긍정, 유용성: 긍정, 이동: 긍정, 화질: 긍정, 음량: 긍정",긍정
배송 빠르게 잘받았습니다 LG 소속 기사님이 스티로폼 포장이 날릴 수 있다며 문 밖에서 박스 오픈해주셨어요 섬세한 안전설치받았습니다~,"빠른 배송, 섬세한 설치","배송, 설치, 서비스","배송: 긍정, 설치: 긍정, 서비스: 긍정",긍정
너무나도 만족합니다. 굿굿,만족,서비스,서비스: 긍정,긍정
좋네요.핸드폰 보지말고 멀리서 큰 화면으로 보라고 샀습니다.,큰 화면,화면,화면: 긍정,긍정
생각보다 빨리와서 좋아요 ㅎㅎㅎ,"빠른 배송, 만족",배송,배송: 긍정,긍정
"LG 배송서비스로 안전하게 잘 왔고, 설치도 잘해주셨습니다. 무엇보다 스탠바이비로 ott시청 등이 편하네요 :-)잘 사용하겠습니다.","안전 배송, 설치 만족, 편리한 ott 시청","배송, 설치, 사용","배송: 긍정, 설치: 긍정, 사용: 긍정",긍정
신랑 방 만들어주려고 산 전용티비ㅋ역시 제값을 하네요~,"전용 티비, 만족",전용 티비,전용 티비: 긍정,긍정
저렴한 가격에 배송 잘 받았어요진작에 살걸 그랬어요너무좋아요,"저렴한 가격, 좋은 제품","가격, 배송, 제품","가격: 긍정, 배송: 긍정, 제품: 긍정",긍정
역시 사랑인데 적기에 잘 구할 수 있어 너무 좋았습니다. 감사해요~,"적기 구입, 만족",구입,구입: 긍정,긍정
운동할때나 넷플볼때 굿이네요,"운동, 넷플릭스, 좋음","운동, 넷플릭스","운동: 긍정, 넷플릭스: 긍정",긍정
집안 곳곳에 가지고 다니면서 보기 좋아요^^,"휴대성, 시각적 만족","휴대성, 시각적 만족","휴대성: 긍정, 시각적 만족: 긍정",긍정
집에서 OTT 볼때 아무데서나 볼수 있어 너무 편리해요,"편리함, 어디서나 시청 가능","편리함, 시청","편리함: 긍정, 시청: 긍정",긍정
"배송지정할 수 있어서 좋았고,기사님 시간 잘 맞쳐 주셔서 원하는 시간에 받았어요.생각보다 기둥?튼튼.. 화질,소리 다 좋네요.스피커 고민했는데 좁은방에서 사용하기엔 필요 없을 것 같아요.아이들교육때문에 티비 치우고 아쉬웠는데 좋아요..단점은 지상파는 볼 수 없고..유료 어플을 가입해 봐야한다는 것 뿐..;","배송지정, 시간 준수, 튼튼한 기둥, 좋은 화질과 소리, 유료 어플 필요","배송지정, 시간 준수, 기둥 튼튼, 화질, 소리, 유료 어플 필요","배송지정: 긍정, 시간 준수: 긍정, 기둥 튼튼: 긍정, 화질: 긍정, 소리: 긍정, 유료 어플 필요: 부정",긍정
이동식 티비라 너무 마음에 들어요 디자인도 예쁘구요,"이동식 티비, 예쁜 디자인","디자인, 제품","디자인: 긍정, 제품: 긍정",긍정
"정말 좋습니다. TV, 폰, OTT 등 여러가지를 누워서 편하게 즐깁니다.","편안함, 다양한 기기 사용","편안함, 다양한 기기 사용","편안함: 긍정, 다양한 기기 사용: 긍정",긍정
집에서 이동하며 보기 편해요판매자님 친절하시고배송도 빨라 좋아요,"편리한 이동, 친절한 판매자, 빠른 배송","이동, 판매자, 배송","이동: 긍정, 판매자: 긍정, 배송: 긍정",긍정
"설치기사님도 친절하시고, 제품도 좋습니다!! 강추합니다!!","친절한 설치기사, 좋은 제품, 강추","설치, 제품","설치: 긍정, 제품: 긍정",긍정
배송도 잘 왔고요 제품도 너무 좋네요 뒷면은 핑크보단 좀 진한 아이보리에 더 가까운거 같아요 제품 너무 좋습니다.,"잘된 배송, 좋은 제품, 진한 아이보리","배송, 제품","배송: 긍정, 제품: 긍정",긍정
빠른 배송 잘받았습니다,빠른 배송,배송,배송: 긍정,긍정
8개월 사용후 남기는 리뷰입니다. 사길 진짜 잘했다고 생각합니다 거실에 65인치 티비가 있지만 밥먹을때나 거실에서도 이티로 잘보게 되네요 안방에서도 보게되고 밀고다니면서 자유자재로 보고있어요 ㅎㅎ 정말 추천합니다 !!!,"자유자재 사용, 추천","사용, 이동","사용: 긍정, 이동: 긍정",긍정
화질 크기 등 걱정했으나 이상없고 만족스러움주변에서 구매 고민한다면 추천의사있음,"화질 만족, 크기 만족, 추천의사","화질, 크기, 추천","화질: 긍정, 크기: 긍정, 추천: 긍정",긍정
아주 잘 사용 중입니다 구입을 엄청 망설였었는데 괜히 망설였어요 ㅎㅎ 최고로 잘 사용중,"만족, 최고",사용,사용: 긍정,긍정
너무너무 만족해요 티비랑 달라요 너무 좋습니다,"만족, 좋음",제품,제품: 긍정,긍정
베송빠르고 조아요 ㅋㅎ,"빠른 배송, 만족",배송,배송: 긍정,긍정
친절한배송과 설치까지 너무 친절하셔서 감사했습니다.,"친절한 배송, 친절한 설치","배송, 설치","배송: 긍정, 설치: 긍정",긍정
지인에게 선물로 줬더니 매일 사용하고있다고 너무 좋다고 하네요.사운드가 아주 짱짱하면서 이동이 편해서 좋대요,"좋은 사운드, 편리한 이동","사운드, 이동","사운드: 긍정, 이동: 긍정",긍정
좁은 공간에서 활용하기 아주 좋아요,공간 활용성 좋음,공간 활용성,공간 활용성: 긍정,긍정
정말 만족스러운 구매입니다,만족스러운 구매,구매,구매: 긍정,긍정
"배송 빠르고 친절하게 설치해주시고,,,, 가격도 대만족","빠른 배송, 친절한 설치, 만족스러운 가격","배송, 설치, 가격","배송: 긍정, 설치: 긍정, 가격: 긍정",긍정
LG전자 기사님께서 해당날짜에 오셔서 친절하게 설치해주셨어요. 말로만 듣던 스탠바이미 정말 신세계네요. 기본 ott 로 넷플릭스 편하게 보고 셋톱박스 연결하니 tv 도 볼수 있어요. 무엇보다 식사시간 식탁 바로 앞 무선으로 옮겨서 볼 수 있어서 최고네요. ^^,"친절한 설치, 편리한 넷플릭스, 무선 이동, 식사시간 활용","설치, 편리성, 기능","설치: 긍정, 편리성: 긍정, 기능: 긍정",긍정
삼탠바이미의 가성비와 고민하다가 이동성과 무선인 점 때문에결국 스탠바이미로 결정했는데 대만족입니다.희방 배송일에 맞춰 기사님이 오셔서 친절하게 설치해주시고제품도 만족합니다!,"가성비, 이동성, 무선, 친절한 설치, 제품 만족","가성비, 이동성, 무선, 설치, 제품","가성비: 긍정, 이동성: 긍정, 무선: 긍정, 설치: 긍정, 제품: 긍정",긍정
깔끔하고 인테리어에 잘어울리네요,"깔끔함, 인테리어 적합","디자인, 인테리어","디자인: 긍정, 인테리어: 긍정",긍정
화면이 기대 이상으로 깨끗하게 잘 나오네요.바퀴도 너무 조용하게 잘 이동 되구요.화면 상 하 조절도 편하게 잘 됩니다.기사님 너무 친절하게 설명 해 주시고 가셨어요.맘에 듭니다.,"깨끗한 화면, 조용한 바퀴, 편리한 조절, 친절한 기사","화면, 바퀴, 조절, 서비스","화면: 긍정, 바퀴: 긍정, 조절: 긍정, 서비스: 긍정",긍정
배송너무 빨라서 좋아요! 디자인도 맘에 들어요,"빠른 배송, 디자인 만족","배송, 디자인","배송: 긍정, 디자인: 긍정",긍정
잘받았습니다감사합니다,감사,배송,배송: 긍정,긍정
"아기 미디어노출안하게하려고 샀는데요,잘 사용해보겠습니다","미디어 노출 방지, 사용 기대","미디어 노출 방지, 사용","미디어 노출 방지: 긍정, 사용: 긍정",긍정
잘사용중입니다 ..,사용 만족,사용,사용: 긍정,긍정
23일 주문했고 24일날 희망일로 설치 부탁드렸어요.다음날 바로 설치 해주셨고 배송 및 설치도 마음에 들었고스탠바이미 또한 마음에 드네요.티비가 없는 집이고 그램으로 넷플릭스 시청했는데27인치 스탠바이미는 제 기준 무척 크네요.다만 화질 부분은 평이 그렇게 좋지 못했는데 나쁜편은 아니지만 좋은편도 아니네요.사운드 걱정도 되서 스피커도 같이 구입할까 했었는데 저는 따로 구입하지 않아도 될거 같네요. 잘쓰도록 할게요! 좋은 상품 빠른 설치 감사합니다!,"빠른 설치, 배송 만족, 스탠바이미 크기, 화질 보통, 사운드 만족","설치, 배송, 제품 크기, 화질, 사운드","설치: 긍정, 배송: 긍정, 제품 크기: 긍정, 화질: 중립, 사운드: 긍정",긍정
광고 보고서 구매할려고알아보고있었는데.. 좋은기회에 구매하게 되어 너무 좋네요.배송오신 lg기사분도 너무 친절하셨고제품도 깨끗하고 넘 이뻐요.거실로 방으로 옮겨다니며 볼수있고많이 활용할거 같아요.마음에 쏙 듭니다~,"좋은 기회, 친절한 기사, 깨끗한 제품, 예쁜 디자인, 높은 활용도, 만족","구매, 배송, 기사, 제품, 디자인, 활용도","구매: 긍정, 배송: 긍정, 기사: 긍정, 제품: 긍정, 디자인: 긍정, 활용도: 긍정",긍정
좋아요좋아요좋아요좋아요좋아요좋아요 좋아요좋아요좋아요좋아요좋아요좋아요,좋아요,없음,없음,중립
엄청 좋아요 화질도 좋고 디자인 이쁩니다,"좋은 화질, 이쁜 디자인","화질, 디자인","화질: 긍정, 디자인: 긍정",긍정
이틀만에 받았습니다 ! 설치해주신 기사님들도 친절하고 빠르게 받아볼 수 있어서 너무 좋아요. 잘쓸게용!🥰,"빠른 배송, 친절한 설치","배송, 설치","배송: 긍정, 설치: 긍정",긍정
이동도 편하고 예뻐서 너무 좋아요 🤍,"편리한 이동, 예쁜 디자인","이동, 디자인","이동: 긍정, 디자인: 긍정",긍정
잘받았습니다 배송도 빠르고 제품도 아주 만족합니다,"빠른 배송, 제품 만족","배송, 제품","배송: 긍정, 제품: 긍정",긍정
기사분께서 주문하고 이틀만에 설치하러 와주셨어요! 편하게 잘 사용하고 있습니다ㅎㅎ,"빠른 설치, 편리함","설치, 사용","설치: 긍정, 사용: 긍정",긍정
생각보다 훨씬 좋아요 만족합니다,만족,제품,제품: 긍정,긍정
왜 갓텐바이미 하는줄 알았습니다 !!최고의 선택,최고의 선택,선택,선택: 긍정,긍정
이동하면서 사용하기 좋습니다,"이동성, 사용 편리성","이동성, 사용 편리성","이동성: 긍정, 사용 편리성: 긍정",긍정
좋아요 늦게 적어서 죄송해요,"좋아요, 늦은 작성",작성,작성: 긍정,긍정
아직안입어봤지만좋으네요,좋은 품질,품질,품질: 긍정,긍정
삐른배송 너무 좋아요,빠른 배송,배송,배송: 긍정,긍정
"가격도 좋고, 배송도 빠르고 설치도 신속하게 해주셨어요.","좋은 가격, 빠른 배송, 신속한 설치","가격, 배송, 설치","가격: 긍정, 배송: 긍정, 설치: 긍정",긍정
"ㅎㅎ 돈이 아깝지 않아요배송이 기본적으로 오래걸리기도 하지만, 배송 (다른 제품 갖고 오심)실수 이슈 때문에 하루 늦게 받았지만::;;;;;;; 만족합니다","배송 지연, 만족",배송,배송: 부정,부정
이뻐요 터치잘되고 비싼감이있지만 좋아유 삼텐바이미랑 고민마니했어요,"예쁜 디자인, 좋은 터치, 높은 가격, 고민 많음","디자인, 터치, 가격, 고민","디자인: 긍정, 터치: 긍정, 가격: 부정, 고민: 중립",긍정
운동할때도 너무 좋고 편리하게 잘 사용할꺼 같아요,"운동, 편리","운동, 사용","운동: 긍정, 사용: 긍정",긍정
친절한 설치부터 흠잡을데 없는 제품 퀄리티.. 다만 전원어댑터를 배터리나 봉 속에 일체화 했으면 더 좋지 않았나 좀 아쉬움이 남읍니다. 그래도 스탠바이미 너무 편하고 좋읍니다,"친절한 설치, 우수한 제품 퀄리티, 전원어댑터 아쉬움, 편리한 스탠바이미","설치, 제품 퀄리티, 전원어댑터, 편리성","설치: 긍정, 제품 퀄리티: 긍정, 전원어댑터: 부정, 편리성: 긍정",긍정
OTT서비스와 유튜브 프리미엄을 사용하시는 분들 중에서도 여기저기 움직이며 사용하시는 분께는 추천드립니다. 가장 중요한 점은 웹서핑이 굉장히 굉장히 느립니다,"추천, 느린 웹서핑","추천, 웹서핑","추천: 긍정, 웹서핑: 부정",중립
마음에 쏙 드네요^.^ 설치도 잘 해주시고 작동도 잘 됩니다. 감사합니다~,"만족, 좋은 설치, 잘 작동","설치, 작동","설치: 긍정, 작동: 긍정",긍정
매우 좋습니다 추천해요,추천,추천,추천: 긍정,긍정
너무 좋아요 설치 서비스도짱,"좋음, 설치 서비스 만족","설치, 서비스","설치: 긍정, 서비스: 긍정",긍정
지인 집들이 선물로 구매했는데 지인이 엄청 맘에들어하네요~~,"집들이 선물, 만족",선물,선물: 긍정,긍정
예뻐요 간편해요 유후유후근데 제가 산건아니고 친오빠 결혼선물류 사준건데 너무 맘에들어하고저도 너뮤 예뻐서 구매하고 싶네용 오홍홍,"예쁨, 간편함, 만족","디자인, 사용성, 선물","디자인: 긍정, 사용성: 긍정, 선물: 긍정",긍정
작업하면서 음악듣고 이리저리 굴러다니니까 좋은듯요,"음악, 편안함","음악, 편안함","음악: 긍정, 편안함: 긍정",긍정
정확한 배송과 직접 설치해주셔서 편하게 바로 사용할 수 있었습니다. 사고싶었었던 제품인데 너무 마음에 드네요~,"정확한 배송, 직접 설치, 제품 만족","배송, 설치, 제품","배송: 긍정, 설치: 긍정, 제품: 긍정",긍정
배송전 일정 조율 가능하고 좋습니다 ☺️,"일정 조율 가능, 좋음",일정 조율,일정 조율: 긍정,긍정
너무 만족하고 좋습니다. 집에서 사용하기 좋아요.,"만족, 사용 편리",사용,사용: 긍정,긍정
제품 좋아요 잘 사용하고 있습니다 ㅎㅎ,"좋은 제품, 만족스러운 사용",제품,제품: 긍정,긍정
"희망 배송일에 맞춰 와 주셨어요전날 미리 전화 주시니 좋네요스탠바이미 명성은 익히 들어 알고 있었는데실제로 보니 정말 마음에 듭니다심플한 디자인, 무선 사용 가능, 이동이 편함모든면에서 만족스럽습니다","희망 배송일, 사전 연락, 심플한 디자인, 무선 사용, 이동 편리, 만족","배송, 연락, 디자인, 사용, 이동","배송: 긍정, 연락: 긍정, 디자인: 긍정, 사용: 긍정, 이동: 긍정",긍정
설치를 깔끔하게 해주십니다. 안방에서 활용도가 높아요,"깔끔한 설치, 높은 활용도","설치, 활용도","설치: 긍정, 활용도: 긍정",긍정
신세계입니다 진작살걸 후회됩니다,"신세계, 후회",제품,제품: 긍정,긍정
좋습니다 최고입니다~,최고,서비스,서비스: 긍정,긍정
저렴하게 구입했어요.,저렴한 가격,가격,가격: 긍정,긍정
좋은가격에 잘샀어요,좋은 가격,가격,가격: 긍정,긍정
너무 좋네요 마음에 들어요ㅎㅎ감사해요,"만족, 감사",제품,제품: 긍정,긍정
고민하다가 샀는데 만족합니다.!,만족,구매,구매: 긍정,긍정
너무 잘쓰고 있어요ㅎㅎ,만족,사용,사용: 긍정,긍정
배송빠르거 좋아요~!,"빠른 배송, 만족",배송,배송: 긍정,긍정
빠른배송 감사합니다.디자인이 좋아요.,"빠른 배송, 좋은 디자인","배송, 디자인","배송: 긍정, 디자인: 긍정",긍정
아주만족합니다....,아주 만족,만족,만족: 긍정,긍정
배송빠르고.. 제품 마음에 듭니다. 감사합니다.,"빠른 배송, 제품 만족","배송, 제품","배송: 긍정, 제품: 긍정",긍정
"너무 좋습니다 FHD 라고 하지만 화질 안좋은거 전혀 모르겠구요음질도 영화모드로 설정해놓으면 너무너무 좋아요 너무 만족 스럽습니다 제 방에서 누워서 보려고 구매했구요 뒤에 있는 티비는 86인치 티비이구요~저는 혼자서 이정도 사이즈면 충분 한거 같아요ㅋㅋ이것보다 사이즈 크면 너무 부담스러울 것 같아요저는 마감 지저분 한거 싫고 터치 스크린, 무선인걸 원해서 스탠바이미로 선택했는데 너무 만족스러워요","좋은 화질, 좋은 음질, 만족, 적당한 사이즈, 깔끔한 마감, 터치 스크린, 무선, 스탠바이미 만족","화질, 음질, 사이즈, 마감, 기능","화질: 긍정, 음질: 긍정, 사이즈: 긍정, 마감: 긍정, 기능: 긍정",긍정
원하는 날짜에 배송 설치 되어 만족 합니다 실시간tv 도 가능해서 좋아요 삶의질 상승템 입니다,"원하는 날짜 배송, 실시간 TV, 삶의 질 상승","배송, 설치, 기능","배송: 긍정, 설치: 긍정, 기능: 긍정",긍정
좋아요 진작 살껄 후회 합니다,"후회, 만족",구매,구매: 긍정,긍정
사용하기 편해요~!,편리한 사용,사용,사용: 긍정,긍정
설치기사분들도 너무 친절하시고 화질이나 스피커도 괜찮아요!!,"친절한 설치기사, 괜찮은 화질, 괜찮은 스피커","설치, 화질, 스피커","설치: 긍정, 화질: 긍정, 스피커: 긍정",긍정
매일매일 잘 사용하고 있습니다.성능 우수해서 좋아요,"우수한 성능, 만족","사용, 성능","사용: 긍정, 성능: 긍정",긍정
스피커의 답답함은 어쩔수 없네요ㅠ,답답함,스피커,스피커: 부정,부정
